Locality,,,Yes,No,Blanks,"Total Votes Cast"
Southbridge,,,"3,801","3,013",167,"6,981"
Spencer,,,"3,089","2,693",93,"5,875"
Sterling,,,"2,468","2,544",54,"5,066"
Sturbridge,,,"2,821","2,610",91,"5,522"
Sutton,,,"2,799","2,864",85,"5,748"
Templeton,,,"2,143","1,875",40,"4,058"
Upton,,,"2,541","2,083",52,"4,676"
Uxbridge,,,"4,201","3,520",77,"7,798"
Warren,,,"1,334","1,025",53,"2,412"
Webster,,,"4,007","3,252",152,"7,411"
"W. Boylston",,,"2,084","2,262",76,"4,422"
"W. Brookfield",,,"1,113",965,19,"2,097"
Westborough,,,"4,561","5,044",171,"9,776"
Westminster,,,"2,323","2,262",38,"4,623"
Winchendon,,,"2,735","1,823",60,"4,618"
Worcester,,,"35,305","29,050","1,948","66,303"
TOTALS,,,"1,769,328","1,528,219","81,254","3,378,801"
